epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,186.129,1.7991,2.72181,1.52903,0.45764,0.40534,0.352,0.15738,2.09853,2.22365,1.70076,0.000368903,0.000368903,0.000368903
2,377.048,1.79546,1.88857,1.53689,0.54333,0.4916,0.48037,0.23299,1.84682,1.99352,1.52388,0.000702645,0.000702645,0.000702645
3,566.184,1.76953,1.79445,1.51135,0.57842,0.47004,0.47411,0.22653,1.93067,1.89008,1.60346,0.000999723,0.000999723,0.000999723
4,757.535,1.74281,1.74609,1.51316,0.6418,0.50386,0.5288,0.25584,1.7848,1.79956,1.50861,0.000946016,0.000946016,0.000946016
5,951.037,1.68085,1.60965,1.46116,0.66762,0.57413,0.60725,0.30143,1.69995,1.58603,1.43466,0.000891022,0.000891022,0.000891022
6,1140.64,1.62399,1.5362,1.44105,0.6843,0.613,0.66317,0.33804,1.68293,1.48473,1.41347,0.000836027,0.000836027,0.000836027
7,1331.73,1.57696,1.42806,1.3955,0.73289,0.62238,0.68127,0.35562,1.64233,1.38404,1.39269,0.000781033,0.000781033,0.000781033
8,1524.06,1.52736,1.3512,1.3671,0.75271,0.64341,0.70221,0.37835,1.60263,1.33673,1.36506,0.000726038,0.000726038,0.000726038
9,1715.27,1.50336,1.28209,1.3431,0.77346,0.64383,0.71478,0.38979,1.58053,1.25609,1.34924,0.000671044,0.000671044,0.000671044
10,1904.88,1.48189,1.24804,1.33045,0.80053,0.67259,0.7489,0.40782,1.54972,1.17873,1.32924,0.000616049,0.000616049,0.000616049
11,2087.61,1.46342,1.10588,1.31526,0.80975,0.67086,0.74554,0.41681,1.5434,1.19822,1.32391,0.000561055,0.000561055,0.000561055
12,2268,1.40553,1.03521,1.27368,0.83551,0.70104,0.79124,0.44749,1.48692,1.08259,1.28361,0.00050606,0.00050606,0.00050606
13,2448.95,1.38233,0.98722,1.26104,0.84198,0.71435,0.78834,0.45815,1.46086,1.05871,1.28025,0.000451066,0.000451066,0.000451066
14,2628.63,1.35054,0.94657,1.24292,0.83125,0.73127,0.79813,0.4643,1.45805,1.03319,1.27244,0.000396071,0.000396071,0.000396071
15,2806.21,1.31509,0.89998,1.2262,0.84804,0.74119,0.80716,0.4793,1.4246,0.99398,1.25541,0.000341077,0.000341077,0.000341077
16,2985.8,1.28106,0.87001,1.20484,0.84562,0.75106,0.81868,0.48897,1.40452,0.97953,1.24936,0.000286083,0.000286083,0.000286083
17,3163.27,1.24713,0.82678,1.18549,0.85551,0.7478,0.82252,0.49731,1.38894,0.94725,1.24214,0.000231088,0.000231088,0.000231088
18,3340.06,1.22016,0.79181,1.16756,0.86168,0.76349,0.82916,0.50706,1.36205,0.90625,1.22116,0.000176094,0.000176094,0.000176094
19,3518.6,1.18949,0.7598,1.15499,0.87752,0.77116,0.84189,0.51463,1.34571,0.88253,1.21239,0.000121099,0.000121099,0.000121099
20,3696.82,1.15624,0.72849,1.13921,0.86876,0.7812,0.8445,0.52561,1.32797,0.86238,1.20006,6.61045e-05,6.61045e-05,6.61045e-05
